method,conf_th,iou_th,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
OBS,0.1,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,42034,7847,5644,84.2685591708266,88.1622551281513,86.1714449717607
OBS,0.2,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,42074,5688,5604,88.0909509652025,88.2461512647343,88.1684828164292
OBS,0.3,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,41967,4670,5711,89.9864914123979,88.021729099375,88.9932672427504
OBS,0.4,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,41706,3944,5972,91.3603504928806,87.4743068081715,89.3751071489799
OBS,0.5,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,41222,3378,6456,92.4260089686099,86.4591635555183,89.3430720215003
OBS,0.6,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,40299,2779,7379,93.5489112772181,84.5232602038676,88.8073515800608
OBS,0.7,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,38321,1921,9357,95.2263803985886,80.3745962498427,87.1724294813467
OBS,0.8,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,30659,856,17019,97.2838330953514,64.3042912873862,77.428560605104
OBS,0.9,0.1,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
OBS,0.1,0.2,50.5474056662748,83.9049119781173,53.7356875932324,-100,35.8718885189778,46.4845851453475,58.6610040948919,38.9281761825122,64.7120230714016,26.2906289149273,59.4163592667511,59.4193255695513,-100,41.616487155831,57.8373677924838,66.8507612429763,44.577387054544,67.2399809160305,42064,7986,5614,84.0439560439561,88.2251772305886,86.0838244924689
OBS,0.2,0.2,50.5474056662748,83.9049119781173,53.7356875932324,-100,35.8718885189778,46.4845851453475,58.6610040948919,38.9281761825122,64.7120230714016,26.2906289149273,59.4163592667511,59.4193255695513,-100,41.616487155831,57.8373677924838,66.8507612429763,44.577387054544,67.2399809160305,42112,5764,5566,87.9605647923803,88.325852594488,88.14283023212
OBS,0.3,0.2,50.5474056662748,83.9049119781173,53.7356875932324,-100,35.8718885189778,46.4845851453475,58.6610040948919,38.9281761825122,64.7120230714016,26.2906289149273,59.4163592667511,59.4193255695513,-100,41.616487155831,57.8373677924838,66.8507612429763,44.577387054544,67.2399809160305,42009,4720,5669,89.8992060604764,88.109820042787,88.9955194000445
