method,conf_th,iou_th,TP,FP,FN,P,R,F1
NMS,0.7,0.9,38473,8253,9205,82.3374566622437,80.6934015688578,81.5071395279861
OBS,0.7,0.9,38422,3632,9256,91.3634850430399,80.5864339947145,85.6372308652432
NONE,0.7,NONE,38481,12339,9197,75.7201889020071,80.7101807961744,78.1355966618611
NMS,0.8,0.1,29877,1500,17801,95.2194282436179,62.6641218171903,75.5853519701474
OBS,0.8,0.1,30859,2721,16819,91.8969624776653,64.7237719703008,75.9531369219031
OBS,0.8,0.1,30659,856,17019,97.2838330953514,64.3042912873862,77.428560605104
NMS,0.8,0.2,30614,1094,17064,96.5497666204112,64.2099081337304,77.126949336155
OBS,0.8,0.2,30680,865,16998,97.2578855603107,64.3483367590922,77.4522550269492
NMS,0.8,0.3,30856,1067,16822,96.6575823074272,64.717479760057,77.5266642378865
OBS,0.8,0.3,30688,867,16990,97.252416415782,64.3651159864088,77.4626733810407
NMS,0.8,0.4,30864,1322,16814,95.8926241222892,64.7342589873736,77.2913953721326
OBS,0.8,0.4,30686,865,16992,97.2584070235492,64.3609211795797,77.4615355488521
NMS,0.8,0.5,30869,1784,16809,94.5364897559183,64.7447460044465,76.8545144464777
OBS,0.8,0.5,30685,864,16993,97.2614028970807,64.3588237761651,77.4609665896727
NMS,0.8,0.6,30863,2344,16815,92.9412473273707,64.7321615839591,76.3132842925141
OBS,0.8,0.6,30689,873,16989,97.2340155883658,64.3672133898234,77.4583543664816
NMS,0.8,0.7,30865,3076,16813,90.9372145782387,64.7363563907882,75.6318994351805
OBS,0.8,0.7,30698,905,16980,97.1363478150808,64.3860900205546,77.4410009964556
NMS,0.8,0.8,30871,3804,16807,89.0295602018746,64.7489408112756,74.9723750197321
OBS,0.8,0.8,30741,1062,16937,96.6606923875106,64.4762783673812,77.3543362564638
NMS,0.8,0.9,30874,4845,16804,86.4357904756572,64.7552330215194,74.0410326510546
OBS,0.8,0.9,30829,1556,16849,95.1953064690443,64.6608498678636,77.0118531656321
NONE,0.8,NONE,30875,7239,16803,81.0069790628116,64.7573304249339,71.9764080566953
NMS,0.9,0.1,7710,390,39968,95.1851851851852,16.170980326356,27.6453081860232
OBS,0.9,0.1,8213,140,39465,98.3239554651024,17.2259742438861,29.3159144045261
OBS,0.9,0.1,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.2,8116,75,39562,99.084360883897,17.0225261126725,29.0536791422793
OBS,0.9,0.2,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.3,8237,23,39441,99.7215496368039,17.2763119258358,29.4504630126211
OBS,0.9,0.3,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.4,8234,29,39444,99.6490378797047,17.2700197155921,29.438158059384
OBS,0.9,0.4,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.5,8227,50,39451,99.395916394829,17.2553378916901,29.4057724957555
OBS,0.9,0.5,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.6,8217,100,39461,98.7976433810268,17.2343638575444,29.3490490222341
OBS,0.9,0.6,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.7,8211,179,39467,97.8665077473182,17.2217794370569,29.2894342584005
OBS,0.9,0.7,8035,20,39643,99.7517070142768,16.8526364360921,28.8339045089982
NMS,0.9,0.8,8208,277,39470,96.73541543901,17.2154872268132,29.2292078414615
OBS,0.9,0.8,8040,24,39638,99.702380952381,16.863123453165,28.8471888342722
NMS,0.9,0.9,8202,471,39476,94.5693531649948,17.2029028063258,29.1103973310145
OBS,0.9,0.9,8056,48,39622,99.4076999012833,16.8966819077981,28.8838693485354
NONE,0.9,NONE,8202,737,39476,91.7552298914868,17.2029028063258,28.9736298284967
