method,iou_th,AP,AP50,TP,FP,FN,P,R,F1,dataset,conf_th,AP75,APu,APvt,APt,APs,APm,APl,AR500,ARu,ARvt,ARt,ARs,ARm,ARl
OBS_no_NMS,0.5,23.712205539031167,57.80011895971556,31497.0,26712.0,17555.0,54.110189146008345,64.2114490744516,58.729640782763546,DroneCrowd,0.1,13.991206335260976,-100.0,58.32951991441452,87.00506773107801,-100.0,-100.0,-100.0,73.89505015086031,-100.0,73.90311065782764,100.0,-100.0,-100.0,-100.0
OBS_no_NMS,0.6,24.25386067265866,58.84134947933155,32314.0,29779.0,16738.0,52.04129289936064,65.8770284595939,58.14746502316793,DroneCrowd,0.1,14.363596352734366,-100.0,59.377017796275176,86.97220631428173,-100.0,-100.0,-100.0,75.56062953600261,-100.0,75.56960734319225,100.0,-100.0,-100.0,-100.0
OBS_no_NMS,0.7,24.467990768446803,58.81393122757176,32941.0,35417.0,16111.0,48.18894642909389,67.15526380167985,56.11276722596031,DroneCrowd,0.1,14.859756894902096,-100.0,59.32406617455255,86.96924838359294,-100.0,-100.0,-100.0,76.51675772649433,-100.0,76.51810300866904,100.0,-100.0,-100.0,-100.0
OBS_no_NMS,0.8,24.228006993826803,57.43703590141026,33435.0,45594.0,15617.0,42.307254299054776,68.16235831362636,52.20914889796301,DroneCrowd,0.1,15.164801190698016,-100.0,57.89756740117669,86.90821348569567,-100.0,-100.0,-100.0,76.76343472233548,-100.0,76.75879653238144,100.0,-100.0,-100.0,-100.0
OBS_no_NMS,0.9,21.920220239044827,51.28498590398895,33949.0,68996.0,15103.0,32.97780368157754,69.2102258827367,44.67061849904932,DroneCrowd,0.1,14.325305901404192,-100.0,51.72098006362032,62.0963968308003,-100.0,-100.0,-100.0,75.80322922612737,-100.0,75.79806221315654,100.0,-100.0,-100.0,-100.0
NMS,0.2,33.322785205699915,60.14283670633299,31817.0,12262.0,7173.0,72.18176455908709,81.6029751218261,76.60378721303975,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.3,34.63584406187679,60.23871458880193,32143.0,13343.0,6847.0,70.66569933605945,82.4390869453706,76.0997206307117,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.4,35.78800847296236,60.07080198310021,32398.0,14590.0,6592.0,68.94951902613433,83.09310079507566,75.3634650724604,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.5,36.274656886007776,59.56240021343866,32470.0,15894.0,6520.0,67.13671325779505,83.27776352911003,74.3411864367974,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.6,36.40500206106543,58.94563612502755,32553.0,17249.0,6437.0,65.36484478534999,83.49063862528854,73.32417334895037,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.7,36.3299985422808,58.483262103855736,32625.0,18636.0,6365.0,63.644876221689,83.6753013593229,72.29836788512038,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.8,36.14890365796173,57.90759156812154,32669.0,20146.0,6321.0,61.85553346587144,83.78815080789947,71.17041555470836,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.9,35.689788938750226,56.88630193058193,32732.0,21817.0,6258.0,60.004766356853466,83.94973070017954,69.98578133185089,SeaDronesSee,,,,,,,,,,,,,,,
NONE,NONE,33.7063916345958,53.327288392611536,33193.0,24590.0,5797.0,57.444231002197874,85.13208515003848,68.59971272979034,SeaDronesSee,,,,,,,,,,,,,,,
NMS,0.1,31.784087327037337,59.448716071337216,31403.0,11198.0,7587.0,73.71423206028027,80.5411644011285,76.97662732409214,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.3,37.343725553824456,60.12798179643938,32629.0,8823.0,6361.0,78.71514040335809,83.68556040010259,81.12428830710324,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.4,37.35330882068514,60.09741076000781,32608.0,9161.0,6382.0,78.06746630276042,83.63170043600924,80.75384786834904,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.5,37.33157622322923,60.05323599648538,32586.0,9740.0,6404.0,76.98813967773945,83.57527571172095,80.14658861724631,SeaDronesSee,,,,,,,,,,,,,,,
